5 spice powder;1002002
acorn squash;11482
adobo sauce;6979
agave nectar;19912
ahi tuna;15117
alfredo pasta sauce;93606
almond extract;1002050
almond flour;93740
almond milk;93607
almonds;12061
amaretto;10014534
ancho chiles;10211962
anchovies;15001
andouille sausage;7064
angel food cake mix;18087
angel hair pasta;10020420
angostura bitters;93653
apple;9003
apple butter spread;19294
apple cider;1009016
apple juice;9016
apple pie spice;1042035
apricot preserves;19719
apricots;9021
arborio rice;10020052
arrowroot powder;20003
artichoke heart quarters;93828
artichokes;11007
arugula;11959
asafoetida;1032035
asafoetida powder;0
asiago cheese;1001033
asian pear;9252
asparagus spears;11011
avocado;9037
avocado oil;4581
baby bell peppers;10311821
baby bok choy;93636
baby carrots;11960
baby corn;10011168
baby spinach leaves;11457
baby-back ribs;10010204
baby-back ribs;10192
bacon;10123
bacon fat;4609
baguette;18033
baking bar;19078
baking powder;18371
baking soda;18372
balsamic glaze;98998
balsamic vinegar;2069
bamboo shoots;11028
banana;9040
basmati rice;10020444
bay leaves;2004
bbq sauce;6150
beans;16069
beef;23572
beef brisket;13023
beef broth;6008
beef chuck roast;13786
beef stock;6170
beef tenderloin;13926
beer;14003
beer;14006
beets;11080
bell pepper;10211821
berries;1009054
biscuit mix;18010
biscuits;18009
bittersweet chocolate;19903
black bean sauce;99210
black beans;16015
black olives;1059195
black pepper;1002030
black sesame seeds;10012023
blackberries;9042
blanched almonds;12062
blood orange;1009200
blue cheese;1004
blueberries;9050
bok choy;11116
boneless skinless chicken breast;1055062
bourbon;10014037
brandy;10114037
bread;18064
bread flour;10120129
breakfast links;7919
brie;1006
broccoli;11090
broccoli florets;10011090
brown rice;20040
brown rice flour;20090
brown sugar;19334
brownie mix;18632
brussel sprouts;11098
bulgur;20012
butter;1001
butterhead lettuce;11250
buttermilk;1230
